"","rango","fit"
"173",685,0.135163606421895
"174",686,0.135168225493585
"175",687,0.13517187779946
"176",688,0.135174588802986
"177",689,0.135176384011788
"178",690,0.135177288974141
"179",691,0.135177329275552
"180",692,0.135176530535439
"181",693,0.135174918403901
"182",694,0.135172518558584
"183",695,0.135169356701645
"184",696,0.1351654585568
"185",697,0.135160849866483
"186",698,0.135155556389092
"187",699,0.135149603896333
"188",700,0.135143018170663
"189",701,0.135135825002829
"190",702,0.135128050189513
"191",703,0.135119719531055
"192",704,0.135110858829295
"193",705,0.13510149388551
"194",706,0.135091650498433
"195",707,0.135081354462391
"196",708,0.135070631565533
"197",709,0.135059507588156
"198",710,0.135048008301127
"199",711,0.135036159464418
"200",712,0.13502398682572
"201",713,0.135011516119165
"202",714,0.134998773064159
"203",715,0.134985783364286
"204",716,0.134972572706334
"205",717,0.134959166759414
"206",718,0.134945591174167
"207",719,0.134931871582076
"208",720,0.134918033594889
"209",721,0.134904102804107
"210",722,0.134890104780602
"211",723,0.134876065074321
"212",724,0.134862009214076
"213",725,0.134847962707442
"214",726,0.134833951040759
"215",727,0.134819999679209
"216",728,0.134806134067008
"217",729,0.134792379627687
"218",730,0.134778761764466
"219",731,0.134765305860726
"220",732,0.134752037280585
"221",733,0.134738981369549
"222",734,0.134726163455278
"223",735,0.13471360884844
"224",736,0.134701342843652
"225",737,0.134689390720527
"226",738,0.134677777744812
"227",739,0.134666529169614
"228",740,0.134655670236726
"229",741,0.134645226178057
"230",742,0.134635222217129
"231",743,0.134625683570693
"232",744,0.134616635450438
"233",745,0.134608103064774
"234",746,0.134600111620728
"235",747,0.134592686325934
"236",748,0.134585852390703
"237",749,0.134579635030203
"238",750,0.134574059466721
"239",751,0.13456915093204
"240",752,0.134564934669881
"241",753,0.134561435938467
"242",754,0.134558680013173
"243",755,0.13455669218927
"244",756,0.134555497784765
"245",757,0.134555122143351
"246",758,0.134555590637436
"247",759,0.134556928671283
"248",760,0.134559161684244
"249",761,0.134562315154094
"250",762,0.134566414600466
"251",763,0.134571485588389
"252",764,0.13457755373192
"253",765,0.134584644697889
"254",766,0.134592784209738
"255",767,0.134601998051474
"256",768,0.134612312071719
"257",769,0.134623752187872
"258",770,0.134636344390377
"259",771,0.134650114747098
"260",772,0.134665089407816
"261",773,0.134681294608817
"262",774,0.134698756677616
"263",775,0.134717502037781
"264",776,0.134737557213877
"265",777,0.134758948836533
"266",778,0.134781703647627
"267",779,0.134805848505589
"268",780,0.134831410390831
"269",781,0.134858416411307
"270",782,0.1348868938082
"271",783,0.134916869961727
"272",784,0.134948372397104
"273",785,0.134981428790616
"274",786,0.135016066975846
"275",787,0.135052314950046
"276",788,0.135090200880631
"277",789,0.135129753111841
"278",790,0.135171000171549
"279",791,0.135213970778209
"280",792,0.135258693847977
"281",793,0.135305198501987
"282",794,0.135353514073777
"283",795,0.135403670116907
"284",796,0.135455696412729
"285",797,0.135509622978335
"286",798,0.135565480074694
"287",799,0.135623298214967
"288",800,0.135683108173006
"289",801,0.135744940992054
"290",802,0.135808827993638
"291",803,0.135874800786672
"292",804,0.13594289127676
"293",805,0.136013131675719
"294",806,0.136085554511324
"295",807,0.136160192637269
"296",808,0.136237079243373
"297",809,0.13631624786602
"298",810,0.13639773239883
"299",811,0.136481567103616
"300",812,0.136567786621561
"301",813,0.136656425984689
"302",814,0.136747520627602
"303",815,0.1368411063995
"304",816,0.136937219576486
"305",817,0.137035896874184
"306",818,0.137137175460653
"307",819,0.137241092969627
"308",820,0.137347687514075
"309",821,0.137456997700109
"310",822,0.13756906264123
"311",823,0.137683921972939
"312",824,0.137801615867713
"313",825,0.137922185050368
"314",826,0.138045670813816
"315",827,0.138172115035224
"316",828,0.13830156019259
"317",829,0.138434049381761
"318",830,0.138569626333898
"319",831,0.138708335433385
"320",832,0.138850221736237
"321",833,0.138995330988995
"322",834,0.139143709648114
"323",835,0.139295404899896
"324",836,0.139450464680966
"325",837,0.139608937699289
"326",838,0.139770873455796
"327",839,0.139936322266594
"328",840,0.140105335285796
"329",841,0.140277964529008
